ID1,ID2,lat,long,alt
L3304687,San_Miguel,35.5319468,-105.1685143,.
L1412996,Canadian,35.5348955,-97.7067404,.
L281913,San_Miguel,35.5462309,-105.2128748,.
L152885,Santa_Fe,35.54691,-106.22037,.
L279404,San_Miguel,35.548848,-105.1583862,.
L3010859,Oklahoma,35.5531913,-97.6080215,.
L303677,Oklahoma,35.5532253,-97.5823003,.
L155922,San_Miguel,35.55631,-105.6818,.
L1440361,Custer,35.5582255,-99.1991253,.
L1434128,Oklahoma,35.560634,-97.6117858,.
L352926,Sandoval,35.5636114,-106.344224,.
L2029168,Oklahoma,35.5679805,-97.5973892,.
L887219,Santa_Fe,35.5735133,-106.1114126,.
L271324,Sandoval,35.5772301,-106.3586785,.
L627978,Custer,35.5802673,-99.239502,.
L200868,Sandoval,35.5902583,-106.331605,.
L724808,Sandoval,35.5924126,-106.252175,.
L166691,San_Miguel,35.593845,-105.10566,.
L189799,San_Miguel,35.594036,-105.68285,.
L165725,San_Miguel,35.594307,-105.006256,.
L272146,San_Miguel,35.5944005,-104.930477,.
L885451,Santa_Fe,35.5984497,-106.1264706,.
L271319,Sandoval,35.6016667,-106.3438889,.
L2988062,Oklahoma,35.603292,-97.5973034,.
L158098,San_Miguel,35.610977,-105.24033,.
L2990547,Oklahoma,35.6182248,-97.6049852,.
L271318,Sandoval,35.6183899,-106.3314557,.
L2318929,Santa_Fe,35.623675,-106.1039829,.
L272082,Santa_Fe,35.6289588,-106.0912643,.
L279626,Sandoval,35.6378202,-106.3228739,.
L189887,San_Miguel,35.641247,-105.25987,.
L2482685,Cherokee,35.6488777,-94.9731159,.
L140006,Sandoval,35.6492615,-107.0727844,.
L282317,San_Miguel,35.6616165,-105.2316213,.
L154552,San_Miguel,35.663696,-105.425316,.
L168704,Santa_Fe,35.69003,-105.88775,.
L1569242,San_Miguel,35.6927761,-105.3863552,.
L208312,San_Miguel,35.7023559,-105.0967477,.
L3013043,Oklahoma,35.7133099,-97.4930996,.
L3012954,Oklahoma,35.7226069,-97.5081038,.
L148273,San_Miguel,35.7479134,-105.1277695,.
L152887,Santa_Fe,35.760635,-105.93126,.
L746758,Los_Alamos,35.7682435,-106.257062,.
L880525,Santa_Fe,35.7731531,-105.9421384,.
L191028,Sandoval,35.7791592,-106.270524,.
L192319,Mora,35.81217,-104.92419,.
L148479,Mora,35.8542099,-105.0028687,.
L2995400,Kingfisher,35.8543748,-97.9237175,.
L589799,Wagoner,35.8697167,-95.2301788,.
L284491,Mora,35.8938607,-105.2275867,.
L201218,Santa_Fe,35.8941807,-106.1067854,.
L2613688,Santa_Fe,35.9046514,-106.1201835,.
L163976,Mora,35.944595,-105.22393,.
L14472,Rio_Arriba,35.9833,-106.0667,.
L158579,Rio_Arriba,35.992508,-106.07489,.
L158686,Santa_Fe,35.998356,-106.068436,.
L164741,Sandoval,36.017384,-106.94003,.
L454527,Mora,36.0307765,-104.7024536,.
L328671,Harding,36.0508616,-103.966571,.
L469743,Sandoval,36.0936728,-106.9785547,.
L2613632,Rio_Arriba,36.1044836,-106.0483432,.
L3531579,Payne,36.1075081,-97.2120845,.
L3562734,Payne,36.1136621,-97.2094882,.
L150957,Rio_Arriba,36.1183,-106.0417,.
L1329001,Payne,36.1510847,-97.0636046,.
L275550,Tulsa,36.2175364,-95.930093,.
L808113,Rio_Arriba,36.2243345,-106.3833618,.
L1189499,Tulsa,36.2254423,-95.9133911,.
L164061,Rio_Arriba,36.267605,-106.45015,.
L1102271,Taos,36.2749675,-105.5773687,.
L1428441,Tulsa,36.2867104,-95.9278021,.
L1024241,Taos,36.298525,-105.7739639,.
L158703,Taos,36.301945,-106.04427,.
L887200,Taos,36.3031423,-106.0472703,.
L2354230,San_Juan,36.3203084,-108.7089668,.
L271880,Rio_Arriba,36.3293424,-106.6240218,.
L446823,Taos,36.3362852,-105.7348251,.
L167047,Rio_Arriba,36.34477,-106.18148,.
L2425289,Colfax,36.3920276,-105.2859306,.
L1117941,Taos,36.3991437,-105.5896854,.
L279637,Colfax,36.4158714,-104.653098,.
L358224,Pawnee,36.4439051,-97.0127106,.
L271878,Rio_Arriba,36.4552035,-106.7029148,.
L271877,Rio_Arriba,36.5022377,-106.7298438,.
L281637,Colfax,36.5098674,-104.8927859,.
L778447,Colfax,36.5306054,-105.2552032,.
L158445,Colfax,36.536896,-105.15117,.
L271821,Rio_Arriba,36.5422211,-106.720444,.
L153017,Colfax,36.55005,-105.269325,.
L265647,Colfax,36.5678494,-104.5867115,.
L279389,Union,36.5743926,-103.300741,.
L278017,Colfax,36.5790705,-104.6599819,.
L271771,Rio_Arriba,36.5824229,-106.7276245,.
L1274864,Rio_Arriba,36.6124963,-106.7380142,.
L2344293,San_Juan,36.6356887,-108.2307172,.
L447200,Washington,36.6357794,-95.9341621,.
L129133,Texas,36.6372986,-101.2188034,.
L3533362,San_Juan,36.6442884,-108.3502209,.
L3510382,San_Juan,36.6666132,-108.408768,.
L142267,Rio_Arriba,36.6795845,-106.6866989,.
L142198,San_Juan,36.6803665,-108.3734207,.
L451960,San_Juan,36.6832192,-108.7183857,.
L2359014,San_Juan,36.694668,-108.3840859,.
L282810,San_Juan,36.7021039,-108.463531,.
L2338834,San_Juan,36.7135246,-108.1558084,.
L3532855,San_Juan,36.7227009,-108.2787538,.
L140385,Union,36.7243118,-103.682579,.
L2338972,San_Juan,36.7291454,-108.2489294,.
L158451,Rio_Arriba,36.729298,-106.567535,.
L896218,Cimarron,36.7302343,-102.4948776,.
L1117421,San_Juan,36.7322808,-108.1795406,.
L129135,Alfalfa,36.7458,-98.2083969,.
L129136,Alfalfa,36.7481995,-98.1447983,.
L2043307,Taos,36.7505762,-105.6061006,.
L2073467,Alfalfa,36.783717,-98.18573,.
L282808,San_Juan,36.80032,-108.1027606,.
L896211,Cimarron,36.8064672,-102.2358084,.
L896214,Cimarron,36.8087006,-102.2545731,.
L2339058,San_Juan,36.8108767,-107.671655,.
L283725,San_Juan,36.8187663,-107.6520994,.
L1077664,Cimarron,36.8342943,-102.8837872,.
L356416,Cimarron,36.850766,-102.8821564,.
L1399739,Cimarron,36.8574794,-102.9397961,.
L151743,Taos,36.862892,-105.61221,.
L2618298,Beaver,36.8685456,-100.028801,.
L1783923,Rio_Arriba,36.8745175,-107.0039772,.
L163977,Colfax,36.914185,-104.21471,.
L1894574,Cowley,37.0278165,-96.9987724,.
L1895122,Cowley,37.0782322,-97.0729301,.
L1895156,Sumner,37.2361846,-97.2908141,.
L1916545,Barber,37.2423551,-98.6668396,.
L3284608,Sedgwick,37.5209035,-97.2977328,.
L1378915,Butler,37.5240254,-96.9959838,.
L618628,Sedgwick,37.6124637,-97.6276016,.
L111740,Sedgwick,37.68845,-97.47197,.
L248137,Sedgwick,37.7067944,-97.3551358,.
L852058,Kingman,37.7253794,-97.8364277,.
L618557,Sedgwick,37.7413314,-97.2708035,.
L924701,Woodson,37.7555156,-95.9319305,.
L2011939,Sedgwick,37.7576871,-97.5647736,.
L1915875,Sedgwick,37.8528311,-97.6177311,.
L859496,Finney,37.8575072,-101.0361099,.
L852744,Finney,37.8908408,-100.9897614,.
L589756,Finney,37.9487865,-100.8899403,.
L855083,Finney,37.9785744,-101.0143089,.
L3100042,Reno,37.9839866,-97.8857803,.
L615713,Harvey,38.0264587,-97.3251343,.
L111693,Harvey,38.03973,-97.42383,.
L2739806,Harvey,38.0522816,-97.351656,.
L125100,Stafford,38.1769,-98.5259,.
L1894475,Stafford,38.1919077,-98.4824557,.
L166037,Linn,38.2247065,-94.6510393,.
L1005188,Linn,38.2534144,-94.709959,.
L125101,Coffey,38.2997,-95.8988,.
L166442,Marion,38.381756,-97.1014782,.
L125099,Barton,38.4851729,-98.654995,.
L111714,Miami,38.56244,-94.83719,.
L802766,Miami,38.6212629,-94.6562934,.
L602545,Trego,38.7737592,-99.7764759,.
L209591,Johnson,38.8024013,-94.9412878,.
L270005,Douglas,38.8340077,-95.3805996,.
L887713,Saline,38.8720575,-97.6518059,.
L111676,Douglas,38.89833,-95.27428,.
L208634,Douglas,38.9210373,-95.2327411,.
L1826174,Johnson,38.9250134,-94.6236935,.
L166021,Johnson,38.9842736,-94.7965633,.
L584170,Shawnee,38.9948395,-95.6340122,.
L961971,Johnson,38.9965739,-94.7002816,.
L292640,Shawnee,39.0059113,-95.6271784,.
L481481,Douglas,39.0256518,-95.2196646,.
L887274,Shawnee,39.0414988,-95.7522762,.
L141649,Johnson,39.0428665,-94.8070688,.
L616476,Trego,39.0685133,-99.9941254,.
L603840,Jefferson,39.1192068,-95.4305077,.
L2838626,Wyandotte,39.165538,-94.782228,.
L297732,Shawnee,39.2038638,-95.803721,.
L488853,Pottawatomie,39.2533917,-96.586647,.
L689585,Riley,39.2543488,-96.5983372,.
L503056,Pottawatomie,39.2777788,-96.5909844,.
L862695,Pottawatomie,39.4852302,-96.6567707,.
L698287,Phillips,39.6687986,-99.176425,.
L449600,Jewell,39.904534,-98.0492448,.
L281052,Sierra,33.2971201,-107.1783553,.
