"","ID1","ID2","p2025","p2055","p2085","pre"
"99","Oklahoma","Beaver County",0.153995276971323,0.369384889345125,0.195466811248749,96.8918848117295
"100","Oklahoma","Beckham County",0.0643671027235969,0.123069907572262,0.0939998576458455,123.33346697589
"101","Oklahoma","Blaine County",0.0717362008266171,0.0561992606547573,0.0799257532900474,111.89032823269
"102","Oklahoma","Bryan County",0.0292299694290299,0.00814083249401034,0.0200686201859792,64.6732166123914
"103","Oklahoma","Caddo County",0.052599516484191,0.0201295339968282,0.111550406371274,93.7874401539832
"104","Oklahoma","Canadian County",0.028849132912859,0.0212389550635421,0.0391316045681086,67.2746808219507
"105","Oklahoma","Carter County",0.0207282427852991,0.00975565043377675,0.0186324934383287,80.0277509116209
"106","Oklahoma","Cherokee County",0.0130114631423728,0.00407873204711641,0.00729350141412822,98.5637913784701
"107","Oklahoma","Cimarron County",0.37851685350148,0.750502387872917,0.992069708466497,55.3725257698331
"108","Oklahoma","Cleveland County",0.0429828255387806,0.0321695073615152,0.0847409616642913,70.8941093911001
"109","Oklahoma","Comanche County",0.0386413921838585,0.027724167076842,0.0688356296150378,88.6587119769038
"110","Oklahoma","Custer County",0.124841685895958,0.0979334960850904,0.170253125731084,63.9325024877652
"111","Oklahoma","Delaware County",0.011075094376517,0.00629043966179123,0.0238026116732304,69.5153697820534
"112","Oklahoma","Dewey County",0.149947812021178,0.0672735430028681,0.166890447031114,102.446323846692
"113","Oklahoma","Garfield County",0.0386141466989066,0.0237292162563311,0.0652989123194245,178.445894621099
"114","Oklahoma","Grady County",0.0236439293910987,0.0136792890071496,0.0393037758120824,117.683610736831
"115","Oklahoma","Grant County",0.0293609640589654,0.0222799423941399,0.0465663541165568,244.178408965813
"116","Oklahoma","Harmon County",0.0961623836586728,0.110334265659541,0.215912362823751,124.162619066354
"117","Oklahoma","Jackson County",0.0667690431622484,0.0949605862964998,0.217573335071988,124.570305871318
"118","Oklahoma","Johnston County",0.0175586689264941,0.0104548776919786,0.0263131393469891,66.5504683317537
"119","Oklahoma","Kay County",0.0158816920014772,0.0181543003423622,0.0268720749187074,215.282276161644
"120","Oklahoma","Kiowa County",0.0667887854630095,0.0806649140771895,0.138515439346916,95.7115238718314
"121","Oklahoma","Lincoln County",0.0479239094776367,0.0182416330447942,0.0462158832555955,70.5470436217997
"122","Oklahoma","Major County",0.07767245954104,0.0488455042233488,0.129901158083676,113.667245602588
"123","Oklahoma","Marshall County",0.0274321684932632,0.0123632804111283,0.028059940014981,57.2732415935629
"124","Oklahoma","Mayes County",0.0151160584646224,0.00542632930077987,0.015094639564714,81.8181719053575
"125","Oklahoma","McCurtain County",0.0310245666260332,0.00299718208665675,0.011538106667447,34.8783309221639
"126","Oklahoma","Murray County",0.0310135315130106,0.0167885860351072,0.034506873996091,69.9592959831932
"127","Oklahoma","Muskogee County",0.00904333493174853,0.00643844482427887,0.0118550437944629,93.8072430409244
"128","Oklahoma","Noble County",0.0382442888741387,0.0250737008179593,0.0333435733149671,109.721510210238
"129","Oklahoma","Nowata County",0.00812627658945682,0.00582933349962859,0.0167648354432016,181.312448293922
"130","Oklahoma","Okfuskee County",0.0244930264201184,0.00919883559037274,0.017351681005593,110.822200821526
"131","Oklahoma","Oklahoma County",0.0314819573658001,0.0223847805548455,0.0465244095350915,75.4451638254119
"132","Oklahoma","Osage County",0.0101564697244991,0.015410921360606,0.0255088916945819,131.531194840646
"133","Oklahoma","Pawnee County",0.0367161207455854,0.010214060182014,0.0204001269569688,109.189353063778
"134","Oklahoma","Payne County",0.0243649302868556,0.0200989807601735,0.0435257189363304,101.433099930109
"135","Oklahoma","Pushmataha County",0.0260036009779809,0.015906968969035,0.0402016830581378,30.6003679249922
"136","Oklahoma","Rogers County",0.00913051146220756,0.00488563159699883,0.0125674370175599,182.986553959173
"137","Oklahoma","Seminole County",0.0475064193994573,0.0151028655082754,0.021829654722826,77.4553900985882
"138","Oklahoma","Sequoyah County",0.0325731852582884,0.0065691784179291,0.019853292572458,63.7834557751961
"139","Oklahoma","Texas County",0.452613567035807,0.494967443888813,0.506911754820232,73.4060418249083
"140","Oklahoma","Tillman County",0.0456042419109974,0.0335344369072024,0.230970522740868,91.8583770083873
"141","Oklahoma","Tulsa County",0.0354634908325464,0.00678700103153033,0.0192526611164245,84.1379753847969
"142","Oklahoma","Wagoner County",0.02057377874961,0.00650038185602309,0.0168868291763441,103.287614048619
"143","Oklahoma","Washington County",0.0173389358519626,0.00490409193895172,0.0128578833118663,209.579141143233
"144","Oklahoma","Washita County",0.02629390880211,0.04526849380983,0.0528751238273555,182.348084884271
"145","Oklahoma","Woodward County",0.0558419462532991,0.0723585904153776,0.141078936627343,147.809237575941
